"start","stop","speaker","Global_ID","file","Speaking_To_Each_Other"
14118.2,14118.6,"SPEAKER_17","G00","2_compressed.wav","G01"
14279,14279.1,"SPEAKER_04","G04","3_compressed.wav","G00"
14337.6,14337.7,"SPEAKER_17","G00","2_compressed.wav","G04"
14764.2,14765.2,"SPEAKER_11","G01","2_compressed.wav","G00"
14768.7,14771,"SPEAKER_17","G00","2_compressed.wav","G01"
14844.5,14845,"SPEAKER_11","G01","2_compressed.wav","G00"
14845,14845,"SPEAKER_18","G00","2_compressed.wav","G01"
15076.7,15077.7,"SPEAKER_29","G03","1_compressed.wav","G00"
15142.5,15143.8,"SPEAKER_17","G00","2_compressed.wav","G03"
15395.4,15397,"SPEAKER_23","G02","1_compressed.wav","G00"
15397,15403.9,"SPEAKER_09","G00","1_compressed.wav","G02"
15441.8,15441.8,"SPEAKER_01","G01","1_compressed.wav","G00"
15441.8,15441.8,"SPEAKER_09","G00","1_compressed.wav","G01"
15441.8,15450.8,"SPEAKER_01","G01","1_compressed.wav","G00"
15530.3,15530.3,"SPEAKER_17","G00","2_compressed.wav","G01"
15693,15694.5,"SPEAKER_27","G03","1_compressed.wav","G00"
15727.9,15729.7,"SPEAKER_08","G00","1_compressed.wav","G03"
16229.7,16229.7,"SPEAKER_27","G03","1_compressed.wav","G00"
16342.9,16342.9,"SPEAKER_01","G01","1_compressed.wav","G03"
16369,16374.5,"SPEAKER_19","G00","3_compressed.wav","G01"
16447.8,16447.9,"SPEAKER_04","G04","3_compressed.wav","G00"
16484.8,16487.1,"SPEAKER_17","G00","2_compressed.wav","G04"
16788.4,16790,"SPEAKER_23","G02","1_compressed.wav","G00"
16790,16796.9,"SPEAKER_09","G00","1_compressed.wav","G02"
16834.9,16837.9,"SPEAKER_01","G01","1_compressed.wav","G00"
16973.7,16973.8,"SPEAKER_19","G00","3_compressed.wav","G01"
59.8,62.3,"SPEAKER_23","G02","1_compressed.wav","G00"
192.3,193.3,"SPEAKER_27","G03","1_compressed.wav","G02"
266.3,267.7,"SPEAKER_17","G00","2_compressed.wav","G03"
269.6,270.5,"SPEAKER_29","G03","1_compressed.wav","G00"
270.9,272.1,"SPEAKER_17","G00","2_compressed.wav","G03"
288.2,289.8,"SPEAKER_27","G03","1_compressed.wav","G00"
409.7,409.7,"SPEAKER_38","G02","2_compressed.wav","G03"
409.7,409.7,"SPEAKER_38","G04","3_compressed.wav","G02"
412.8,413.4,"SPEAKER_38","G02","2_compressed.wav","G04"
412.8,413.4,"SPEAKER_38","G04","3_compressed.wav","G02"
413.6,417.4,"SPEAKER_38","G02","2_compressed.wav","G04"
419,419.4,"SPEAKER_38","G02","2_compressed.wav","G04"
419,419.4,"SPEAKER_38","G04","3_compressed.wav","G02"
420.6,420.9,"SPEAKER_38","G02","2_compressed.wav","G04"
420.6,420.9,"SPEAKER_38","G04","3_compressed.wav","G02"
447,447.1,"SPEAKER_27","G03","1_compressed.wav","G04"
522.8,522.8,"SPEAKER_17","G00","2_compressed.wav","G03"
522.8,522.9,"SPEAKER_27","G03","1_compressed.wav","G00"
523.1,523.3,"SPEAKER_17","G00","2_compressed.wav","G03"
523.6,523.6,"SPEAKER_27","G03","1_compressed.wav","G00"
524.2,524.3,"SPEAKER_17","G00","2_compressed.wav","G03"
528.2,528.3,"SPEAKER_27","G03","1_compressed.wav","G00"
529.2,530,"SPEAKER_17","G00","2_compressed.wav","G03"
530,533.1,"SPEAKER_27","G03","1_compressed.wav","G00"
533.2,535.1,"SPEAKER_17","G00","2_compressed.wav","G03"
607.7,607.7,"SPEAKER_30","G04","3_compressed.wav","G00"
647.2,650.7,"SPEAKER_27","G03","1_compressed.wav","G04"
751,751.1,"SPEAKER_09","G00","1_compressed.wav","G03"
761.3,761.8,"SPEAKER_11","G01","2_compressed.wav","G00"
817,817,"SPEAKER_27","G03","1_compressed.wav","G01"
842,842,"SPEAKER_17","G00","2_compressed.wav","G03"
881.2,881.5,"SPEAKER_04","G04","3_compressed.wav","G00"
947.1,950.5,"SPEAKER_17","G00","2_compressed.wav","G04"
965.4,969.5,"SPEAKER_27","G03","1_compressed.wav","G00"
968.2,968.7,"SPEAKER_04","G04","3_compressed.wav","G03"
971.1,971.6,"SPEAKER_27","G03","1_compressed.wav","G04"
1012.9,1013.1,"SPEAKER_11","G01","2_compressed.wav","G03"
1059.6,1059.7,"SPEAKER_09","G00","1_compressed.wav","G01"
1074.9,1076.3,"SPEAKER_29","G03","1_compressed.wav","G00"
1186.5,1189,"SPEAKER_17","G00","2_compressed.wav","G03"
1208,1209.1,"SPEAKER_27","G03","1_compressed.wav","G00"
1209.1,1211.8,"SPEAKER_17","G00","2_compressed.wav","G03"
1211.9,1213.7,"SPEAKER_27","G03","1_compressed.wav","G00"
1216.1,1224.8,"SPEAKER_17","G00","2_compressed.wav","G03"
1228.1,1231,"SPEAKER_27","G03","1_compressed.wav","G00"
1237,1237.9,"SPEAKER_17","G00","2_compressed.wav","G03"
1237.9,1238.2,"SPEAKER_27","G03","1_compressed.wav","G00"
1246.6,1248.6,"SPEAKER_17","G00","2_compressed.wav","G03"
1268.2,1269,"SPEAKER_29","G03","1_compressed.wav","G00"
1327,1332.7,"SPEAKER_20","G00","3_compressed.wav","G03"
1333.9,1334,"SPEAKER_01","G01","1_compressed.wav","G00"
1334,1340.4,"SPEAKER_20","G00","3_compressed.wav","G01"
1456.8,1460,"SPEAKER_23","G02","1_compressed.wav","G00"
1521.4,1522.4,"SPEAKER_27","G03","1_compressed.wav","G02"
1561.1,1563.2,"SPEAKER_04","G04","3_compressed.wav","G03"
1564.2,1564.4,"SPEAKER_27","G03","1_compressed.wav","G04"
1564.4,1565.9,"SPEAKER_04","G04","3_compressed.wav","G03"
1565.4,1565.8,"SPEAKER_27","G03","1_compressed.wav","G04"
1652.6,1654,"SPEAKER_38","G02","2_compressed.wav","G03"
1652.6,1654,"SPEAKER_38","G04","3_compressed.wav","G02"
1667.7,1671.2,"SPEAKER_27","G03","1_compressed.wav","G04"
1685,1685.5,"SPEAKER_30","G04","3_compressed.wav","G03"
1706.2,1706.5,"SPEAKER_27","G03","1_compressed.wav","G04"
1875.4,1876.3,"SPEAKER_17","G00","2_compressed.wav","G03"
1880,1880.9,"SPEAKER_27","G03","1_compressed.wav","G00"
2014,2014.8,"SPEAKER_30","G04","3_compressed.wav","G03"
2015.2,2016,"SPEAKER_27","G03","1_compressed.wav","G04"
2019.6,2022.5,"SPEAKER_30","G04","3_compressed.wav","G03"
2029.7,2033,"SPEAKER_27","G03","1_compressed.wav","G04"
2047,2047.4,"SPEAKER_30","G04","3_compressed.wav","G03"
2062.5,2062.5,"SPEAKER_27","G03","1_compressed.wav","G04"
2137.5,2139.3,"SPEAKER_30","G04","3_compressed.wav","G03"
2147.6,2147.6,"SPEAKER_27","G03","1_compressed.wav","G04"
2499.8,2499.9,"SPEAKER_08","G00","1_compressed.wav","G03"
2536.2,2536.2,"SPEAKER_01","G01","1_compressed.wav","G00"
2536.2,2540.5,"SPEAKER_20","G00","3_compressed.wav","G01"
2630.4,2632.9,"SPEAKER_23","G02","1_compressed.wav","G00"
2692,2693.6,"SPEAKER_27","G03","1_compressed.wav","G02"
2827.9,2828,"SPEAKER_38","G02","2_compressed.wav","G03"
2827.9,2828,"SPEAKER_38","G04","3_compressed.wav","G02"
2832,2834,"SPEAKER_38","G02","2_compressed.wav","G04"
2832,2834,"SPEAKER_38","G04","3_compressed.wav","G02"
2841.1,2841.1,"SPEAKER_27","G03","1_compressed.wav","G04"
2844.7,2848.8,"SPEAKER_38","G02","2_compressed.wav","G03"
2848.8,2850.2,"SPEAKER_27","G03","1_compressed.wav","G04"
2850.9,2851.2,"SPEAKER_38","G02","2_compressed.wav","G03"
2850.9,2851.2,"SPEAKER_38","G04","3_compressed.wav","G02"
2851.3,2852,"SPEAKER_38","G02","2_compressed.wav","G04"
2851.3,2852,"SPEAKER_38","G04","3_compressed.wav","G02"
2852,2852.6,"SPEAKER_38","G02","2_compressed.wav","G04"
2852,2852.6,"SPEAKER_38","G04","3_compressed.wav","G02"
2852.7,2852.7,"SPEAKER_38","G02","2_compressed.wav","G04"
2852.7,2852.7,"SPEAKER_38","G04","3_compressed.wav","G02"
2874,2875.4,"SPEAKER_27","G03","1_compressed.wav","G04"
2885.9,2886,"SPEAKER_38","G02","2_compressed.wav","G03"
2885.9,2886,"SPEAKER_38","G04","3_compressed.wav","G02"
2895.1,2895.2,"SPEAKER_27","G03","1_compressed.wav","G04"
2956.1,2958.2,"SPEAKER_38","G02","2_compressed.wav","G03"
2956.1,2958.2,"SPEAKER_38","G04","3_compressed.wav","G02"
2958.2,2959.9,"SPEAKER_27","G03","1_compressed.wav","G04"
3004.7,3007.6,"SPEAKER_38","G02","2_compressed.wav","G03"
3007.6,3007.6,"SPEAKER_27","G03","1_compressed.wav","G04"
3099.7,3100.3,"SPEAKER_17","G00","2_compressed.wav","G03"
3147.3,3149.1,"SPEAKER_29","G03","1_compressed.wav","G00"
3149.3,3156.8,"SPEAKER_17","G00","2_compressed.wav","G03"
3175.7,3176.9,"SPEAKER_27","G03","1_compressed.wav","G00"
3181,3184.9,"SPEAKER_17","G00","2_compressed.wav","G03"
3185.5,3186,"SPEAKER_27","G03","1_compressed.wav","G00"
3189.8,3190.9,"SPEAKER_17","G00","2_compressed.wav","G03"
3195.9,3196,"SPEAKER_27","G03","1_compressed.wav","G00"
3270.9,3279.3,"SPEAKER_04","G04","3_compressed.wav","G03"
3313.4,3314.7,"SPEAKER_27","G03","1_compressed.wav","G04"
3332.9,3333.1,"SPEAKER_04","G04","3_compressed.wav","G03"
3340,3341.7,"SPEAKER_27","G03","1_compressed.wav","G04"
3360.3,3360.5,"SPEAKER_30","G04","3_compressed.wav","G03"
3381,3388.2,"SPEAKER_27","G03","1_compressed.wav","G04"
3388.2,3388.3,"SPEAKER_04","G04","3_compressed.wav","G03"
3390.8,3391.6,"SPEAKER_27","G03","1_compressed.wav","G04"
3618.7,3621.6,"SPEAKER_17","G00","2_compressed.wav","G03"
3701.6,3705.2,"SPEAKER_27","G03","1_compressed.wav","G00"
3780.2,3780.4,"SPEAKER_17","G00","2_compressed.wav","G03"
3855.2,3858,"SPEAKER_27","G03","1_compressed.wav","G00"
3865.7,3867.9,"SPEAKER_17","G00","2_compressed.wav","G03"
4026.7,4029.7,"SPEAKER_23","G02","1_compressed.wav","G00"
4138.3,4140.8,"SPEAKER_18","G00","2_compressed.wav","G02"
4267.6,4267.6,"SPEAKER_27","G03","1_compressed.wav","G00"
4267.6,4269.3,"SPEAKER_17","G00","2_compressed.wav","G03"
4289,4298,"SPEAKER_27","G03","1_compressed.wav","G00"
4298.4,4298.6,"SPEAKER_17","G00","2_compressed.wav","G03"
4299.1,4299.3,"SPEAKER_27","G03","1_compressed.wav","G00"
4311.5,4311.5,"SPEAKER_17","G00","2_compressed.wav","G03"
4311.5,4311.5,"SPEAKER_27","G03","1_compressed.wav","G00"
4385,4385.1,"SPEAKER_17","G00","2_compressed.wav","G03"
4456,4461.5,"SPEAKER_27","G03","1_compressed.wav","G00"
4475.2,4482.1,"SPEAKER_18","G00","2_compressed.wav","G03"
4587,4587.1,"SPEAKER_27","G03","1_compressed.wav","G00"
4616,4616.2,"SPEAKER_17","G00","2_compressed.wav","G03"
4627.8,4638.7,"SPEAKER_27","G03","1_compressed.wav","G00"
4657.6,4659,"SPEAKER_17","G00","2_compressed.wav","G03"
4665,4666.1,"SPEAKER_27","G03","1_compressed.wav","G00"
4676.1,4677.1,"SPEAKER_17","G00","2_compressed.wav","G03"
4784,4785.8,"SPEAKER_27","G03","1_compressed.wav","G00"
4805.9,4807,"SPEAKER_18","G00","2_compressed.wav","G03"
4845.3,4846.6,"SPEAKER_27","G03","1_compressed.wav","G00"
4860.4,4862,"SPEAKER_18","G00","2_compressed.wav","G03"
5046,5047.1,"SPEAKER_27","G03","1_compressed.wav","G00"
5104.3,5108.1,"SPEAKER_17","G00","2_compressed.wav","G03"
5300.9,5301.7,"SPEAKER_01","G01","1_compressed.wav","G00"
5301.7,5307.3,"SPEAKER_20","G00","3_compressed.wav","G01"
5424,5433.2,"SPEAKER_23","G02","1_compressed.wav","G00"
5506.3,5508,"SPEAKER_17","G00","2_compressed.wav","G02"
5589,5589.3,"SPEAKER_30","G04","3_compressed.wav","G00"
5606.5,5606.5,"SPEAKER_11","G01","2_compressed.wav","G04"
5620.8,5625.5,"SPEAKER_30","G04","3_compressed.wav","G01"
5706.9,5707,"SPEAKER_27","G03","1_compressed.wav","G04"
5749.2,5749.3,"SPEAKER_17","G00","2_compressed.wav","G03"
5787.8,5787.8,"SPEAKER_27","G03","1_compressed.wav","G00"
6010.3,6013.4,"SPEAKER_17","G00","2_compressed.wav","G03"
6218.8,6223,"SPEAKER_27","G03","1_compressed.wav","G00"
6283.6,6287.3,"SPEAKER_17","G00","2_compressed.wav","G03"
6317.4,6317.4,"SPEAKER_04","G04","3_compressed.wav","G00"
6328.7,6328.7,"SPEAKER_27","G03","1_compressed.wav","G04"
6424.2,6424.6,"SPEAKER_17","G00","2_compressed.wav","G03"
6472.2,6473.7,"SPEAKER_27","G03","1_compressed.wav","G00"
6478.7,6480,"SPEAKER_17","G00","2_compressed.wav","G03"
6621.6,6622,"SPEAKER_11","G01","2_compressed.wav","G00"
6643,6643,"SPEAKER_17","G00","2_compressed.wav","G01"
6658,6659,"SPEAKER_27","G03","1_compressed.wav","G00"
6672.7,6676.3,"SPEAKER_17","G00","2_compressed.wav","G03"
6823.2,6826,"SPEAKER_23","G02","1_compressed.wav","G00"
6878.2,6881,"SPEAKER_27","G03","1_compressed.wav","G02"
7302.3,7306.7,"SPEAKER_17","G00","2_compressed.wav","G03"
7315.9,7317.8,"SPEAKER_27","G03","1_compressed.wav","G00"
7318.3,7319.1,"SPEAKER_17","G00","2_compressed.wav","G03"
7319.8,7321,"SPEAKER_27","G03","1_compressed.wav","G00"
7325.1,7325.1,"SPEAKER_17","G00","2_compressed.wav","G03"
7424.7,7425,"SPEAKER_27","G03","1_compressed.wav","G00"
7571,7571.7,"SPEAKER_17","G00","2_compressed.wav","G03"
7605.9,7612.7,"SPEAKER_27","G03","1_compressed.wav","G00"
7666.8,7666.8,"SPEAKER_17","G00","2_compressed.wav","G03"
7853.4,7854.6,"SPEAKER_27","G03","1_compressed.wav","G00"
7873,7873.1,"SPEAKER_17","G00","2_compressed.wav","G03"
7983.6,7984,"SPEAKER_38","G02","2_compressed.wav","G00"
7983.6,7984,"SPEAKER_38","G04","3_compressed.wav","G02"
8007,8007.1,"SPEAKER_27","G03","1_compressed.wav","G04"
8093.2,8094,"SPEAKER_08","G00","1_compressed.wav","G03"
8223.1,8226,"SPEAKER_23","G02","1_compressed.wav","G00"
8290.9,8292.2,"SPEAKER_09","G00","1_compressed.wav","G02"
8310.3,8313.6,"SPEAKER_38","G02","2_compressed.wav","G00"
8314.1,8314.2,"SPEAKER_38","G02","2_compressed.wav","G04"
8314.1,8314.2,"SPEAKER_38","G04","3_compressed.wav","G02"
8314.2,8315,"SPEAKER_38","G02","2_compressed.wav","G04"
8314.2,8315,"SPEAKER_38","G04","3_compressed.wav","G02"
8315.1,8315.2,"SPEAKER_38","G02","2_compressed.wav","G04"
8315.1,8315.2,"SPEAKER_38","G04","3_compressed.wav","G02"
8315.7,8315.8,"SPEAKER_38","G02","2_compressed.wav","G04"
8315.7,8315.8,"SPEAKER_38","G04","3_compressed.wav","G02"
8316.6,8317.9,"SPEAKER_38","G02","2_compressed.wav","G04"
8316.6,8317.9,"SPEAKER_38","G04","3_compressed.wav","G02"
8364.1,8367.5,"SPEAKER_27","G03","1_compressed.wav","G04"
8426,8426.2,"SPEAKER_17","G00","2_compressed.wav","G03"
8477,8478.7,"SPEAKER_27","G03","1_compressed.wav","G00"
8533.8,8535,"SPEAKER_17","G00","2_compressed.wav","G03"
8587.5,8590.8,"SPEAKER_27","G03","1_compressed.wav","G00"
8642,8646.7,"SPEAKER_30","G04","3_compressed.wav","G03"
8699.1,8701.2,"SPEAKER_38","G02","2_compressed.wav","G04"
8699.1,8701.2,"SPEAKER_38","G04","3_compressed.wav","G02"
8703.6,8704.8,"SPEAKER_38","G02","2_compressed.wav","G04"
8703.6,8704.8,"SPEAKER_38","G04","3_compressed.wav","G02"
8704.9,8705.4,"SPEAKER_38","G02","2_compressed.wav","G04"
8704.9,8705.4,"SPEAKER_38","G04","3_compressed.wav","G02"
8718.1,8725.4,"SPEAKER_27","G03","1_compressed.wav","G04"
8759.3,8759.5,"SPEAKER_30","G04","3_compressed.wav","G03"
8782,8782.1,"SPEAKER_29","G03","1_compressed.wav","G04"
8825.6,8826.9,"SPEAKER_30","G04","3_compressed.wav","G03"
8862,8865.1,"SPEAKER_27","G03","1_compressed.wav","G04"
8890.5,8891.3,"SPEAKER_30","G04","3_compressed.wav","G03"
8904.3,8905.2,"SPEAKER_27","G03","1_compressed.wav","G04"
8945.2,8949.3,"SPEAKER_30","G04","3_compressed.wav","G03"
8973.2,8973.3,"SPEAKER_17","G00","2_compressed.wav","G04"
9042.5,9043,"SPEAKER_30","G04","3_compressed.wav","G00"
9078.9,9080,"SPEAKER_18","G00","2_compressed.wav","G04"
9080,9082.6,"SPEAKER_30","G04","3_compressed.wav","G00"
9109.4,9112.3,"SPEAKER_17","G00","2_compressed.wav","G04"
9146.9,9146.9,"SPEAKER_27","G03","1_compressed.wav","G00"
9154.3,9156.5,"SPEAKER_17","G00","2_compressed.wav","G03"
9171,9171.5,"SPEAKER_27","G03","1_compressed.wav","G00"
9235.5,9237.3,"SPEAKER_30","G04","3_compressed.wav","G03"
9244.7,9244.9,"SPEAKER_38","G02","2_compressed.wav","G04"
9244.7,9244.9,"SPEAKER_38","G04","3_compressed.wav","G02"
